1,1,1,10.391474,1,1
1,2,1,55.989265,4,2
1,2,2,12.100935,1,2
1,3,1,118.775845,9,3
1,3,2,23.358583,4,3
1,3,3,13.078213,1,3
2,1,1,12.682199,1,1
2,2,1,96.390963,8,4
2,2,2,19.082785,1,4
2,3,1,306.835413,35,9
2,3,2,24.334908,8,9
2,3,3,14.594555,1,9
3,1,1,14.555216,1,1
3,2,1,63.510895,11,8
3,2,2,9.718180,1,8
3,3,1,642.512560,95,27
3,3,2,29.266119,11,27
3,3,3,11.468649,1,27
4,1,1,8.354425,1,1
4,2,1,72.630644,14,16
4,2,2,16.459227,1,16
4,3,1,1376.285553,239,81
4,3,2,41.446686,14,81
4,3,3,19.202709,1,81
5,1,1,16.915321,1,1
5,2,1,110.160589,17,32
5,2,2,13.927937,1,32
5,3,1,3462.232351,575,243
5,3,2,49.196720,17,243
5,3,3,25.317430,1,243
6,1,1,14.063835,1,1
6,2,1,117.330313,20,64
6,2,2,12.292385,1,64
6,3,1,10936.911106,1343,729
6,3,2,69.266558,20,729
6,3,3,31.333923,1,729
7,1,1,10.002851,1,1
7,2,1,73.882341,23,128
7,2,2,17.359972,1,128
7,3,1,57016.302347,3071,2187
7,3,2,142.668009,23,2187
7,3,3,74.854851,1,2187
8,1,1,8.463144,1,1
8,2,1,86.982727,26,256
8,2,2,22.723675,1,256
8,3,1,463936.668396,6911,6561
8,3,2,396.094322,26,6561
8,3,3,217.438936,1,6561
9,1,1,9.424448,1,1
9,2,1,103.072882,29,512
9,2,2,32.011509,1,512
9,3,1,4692429.576874,15359,19683
9,3,2,1248.198986,29,19683
9,3,3,646.811008,1,19683
10,1,1,9.062290,1,1
10,2,1,147.090197,32,1024
10,2,2,57.542324,1,1024
